45865,2009-05-31,211030.0
22904,2022-08-31,353664.0
15449,2010-09-30,225046.0
40862,2007-06-30,240549.0
15232,2021-06-30,210032.0
45144,2004-11-30,239439.0
49372,2021-04-30,103357.0
13788,2022-05-31,416829.0
45329,2004-12-31,167011.0
51669,2005-03-31,187056.0
28867,2008-09-30,195048.0
5428,2017-12-31,342309.0
28741,2003-01-31,287252.0
24268,2010-03-31,225270.0
51151,2020-12-31,108630.0
32463,2008-11-30,171272.0
6004,2006-08-31,265606.0
13587,2020-03-31,228001.0
49372,2013-07-31,202166.0
30279,2013-12-31,117672.0
48622,2005-08-31,514771.0
3531,1997-12-31,176873.0
50065,2005-02-28,343075.0
13330,2021-10-31,612444.0
25708,2017-11-30,157051.0
16942,2010-06-30,189277.0
34514,2020-02-29,214009.0
207293,2020-10-31,227669.0
27824,2021-04-30,452067.0
27422,2022-07-31,407293.0
21304,2001-12-31,106907.0
17582,2019-05-31,332139.0
56224,1999-06-30,83299.0
206811,2014-05-31,158183.0
35198,2008-04-30,279266.0
4863,1997-02-28,88973.0
28741,2010-11-30,320102.0
30665,2014-01-31,63941.0
23979,2008-12-31,169693.0
19093,2003-07-31,151792.0
51371,2014-03-31,128683.0
54928,1999-07-31,145909.0
36954,1997-07-31,148347.0
21875,2021-04-30,169539.0
37793,2001-12-31,94806.0
51777,2012-04-30,204905.0
37793,2010-08-31,146647.0
16916,2021-04-30,274813.0
48076,2021-02-28,181426.0
52377,2014-07-31,210225.0
46848,1998-07-31,74576.0
23223,2011-09-30,109418.0
53570,2002-09-30,132972.0
24449,2013-01-31,236294.0
37052,2007-10-31,166210.0
49529,2015-08-31,170708.0
8638,2005-11-30,248061.0
395886,2005-07-31,253670.0
24619,2020-10-31,411311.0
26494,2013-06-30,95770.0
27420,2022-08-31,448780.0
33499,2018-04-30,230985.0
7394,2003-01-31,160303.0
4836,2022-09-30,603366.0
4216,2020-04-30,403926.0
52377,2013-11-30,200766.0
25998,2021-11-30,476991.0
48321,2013-06-30,307886.0
20317,2002-10-31,147606.0
9310,1996-01-31,86421.0
20801,2012-12-31,191379.0
34749,2003-03-31,308957.0
30043,1997-06-30,103538.0
24619,2016-03-31,285184.0
44090,2017-04-30,462690.0
30679,2016-05-31,305348.0
27420,2012-11-30,159088.0
9307,2021-01-31,273414.0
47087,2014-04-30,200596.0
26077,2021-11-30,477654.0
12487,2019-02-28,317189.0
25661,2008-01-31,222281.0
15449,2017-02-28,325466.0
12487,2008-02-29,215567.0
3815,2001-11-30,156630.0
13373,2017-10-31,462097.0
14057,2005-10-31,158471.0
38438,2011-07-31,214317.0
34749,2013-08-31,404687.0
25230,2020-11-30,212931.0
18878,2000-03-31,85667.0
48321,2001-12-31,252924.0
36861,2006-01-31,227237.0
32681,2022-04-30,845670.0
36859,2010-11-30,149334.0
14223,2006-05-31,114446.0
25925,2019-01-31,191290.0
42938,2020-06-30,329090.0
395886,2001-04-30,186262.0
16916,2017-01-31,214524.0
32789,2003-04-30,167995.0
53762,2021-07-31,434121.0
38902,2020-07-31,301961.0
14929,2004-04-30,216220.0
